# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4629
#@/user_id	8153c35b-79e8-4496-b5ef-103168ff7e21
a 	啊	c=5 d=0.503807 t=4629
te bie 	特別	c=0 d=0.1 t=1059
te bie tong ku 	特別痛苦	c=1 d=1 t=1060
te se 	特色	c=1 d=0.856415 t=4629
te xing 	特性	c=1 d=1 t=4555
teng 	騰	c=1 d=1 t=353
ti 	提	c=1 d=1 t=2431
ti 	題	c=3 d=1.87648 t=2069
ti cao 	體操	c=1 d=1 t=2492
ti dai 	替代	c=1 d=1 t=3478
ti dao 	提到	c=1 d=1 t=2428
ti gao 	提高	c=1 d=1 t=318
ti gao 	體高	c=1 d=1 t=317
ti gong 	提供	c=1 d=1 t=4173
ti huan 	替換	c=8 d=2.76724 t=4187
ti huan wei 	替換爲	c=1 d=1 t=159
ti qu 	提取	c=1 d=1 t=3246
ti sheng 	提升	c=1 d=1 t=715
ti su 	提速	c=2 d=1.956 t=497
tian 	天	c=5 d=0.927743 t=4629
tian jia 	添加	c=2 d=1 t=4623
tian la 	天啦	c=1 d=0.965605 t=4629
tian liang 	天亮	c=1 d=1 t=942
tian ma 	天馬	c=0 d=0.1 t=1362
tian ma liu xing quan 	天馬流星拳	c=1 d=1 t=1364
tian sheng 	天生	c=1 d=1 t=948
tian sheng 	天盛	c=3 d=2.91678 t=1793
tian sheng chang ge 	天盛长歌	c=5 d=1.00024 t=3684
tian shu 	天數	c=2 d=1.07847 t=2702
tian tian 	天天	c=2 d=1.92774 t=4385
tiao jie 	調節	c=2 d=1.01775 t=1378
tiao jie ruan jian 	調節軟件	c=1 d=1 t=550
tiao shi 	調試	c=1 d=1.099 t=1242
tiao shi xiu gai 	調試修改	c=1 d=1 t=1241
tiao zheng 	調整	c=1 d=0.1 t=4362
ting 	聽	c=1 d=1 t=2495
ting dian 	停電	c=1 d=1 t=1238
ting ni 	聽你	c=1 d=1 t=406
ting shuo 	聽說	c=1 d=0.104066 t=1281
ting shuo le ma 	聽說了嗎	c=1 d=0.955997 t=4629
ting wen 	聽聞	c=1 d=1 t=1285
tong 	痛	c=3 d=2.74765 t=2565
tong 	通	c=1 d=1 t=2810
tong bu 	同步	c=1 d=1 t=4589
tong guo 	通過	c=6 d=2.40997 t=3613
tong ji 	統計	c=1 d=1 t=4278
tong ku 	痛苦	c=9 d=8.36989 t=1663
tong ku ma 	痛苦嗎	c=2 d=2.0415 t=1668
tong nian 	童年	c=1 d=1 t=2364
tong o 	通哦	c=1 d=1 t=3619
tong shi 	同時	c=2 d=1.01323 t=3477
tong xue 	同學	c=1 d=1 t=1057
tong xun 	通訊	c=1 d=1 t=832
tong yang 	同樣	c=1 d=1 t=3445
tong yi ci 	同義詞	c=1 d=1 t=845
tong yong 	通用	c=3 d=1.00001 t=4435
tong zhi 	通知	c=1 d=1.06561 t=1447
tou 	透	c=0 d=0.1 t=2658
tou 	頭	c=1 d=0.609156 t=1342
tou fa 	頭髮	c=1 d=1 t=2728
tou nao 	頭腦	c=0 d=0.1 t=663
tou nao feng bao 	頭腦風暴	c=1 d=1 t=664
tou tun he 	頭屯河	c=0 d=0.1 t=1791
tu 	圖	c=4 d=2.6692 t=4285
tu biao 	圖標	c=2 d=1.25284 t=4225
tu chu 	突出	c=2 d=1.98511 t=4009
tu di 	土地	c=1 d=1 t=1674
tu ding 	禿頂	c=1 d=1 t=786
tu er qi 	土耳其	c=1 d=1 t=602
tu hua 	圖畫	c=1 d=1 t=4422
tu pian 	圖片	c=14 d=2.84365 t=3959
tu xiang 	圖像	c=1 d=1 t=3449
tuan dui 	團隊	c=1 d=1 t=860
tui bei tu 	推背圖	c=2 d=1.99005 t=1985
tui chu 	退出	c=1 d=1 t=1382
tui dong 	推動	c=2 d=1.97531 t=2440
tui hui 	退回	c=1 d=1 t=2211
tui jian 	推薦	c=2 d=1 t=4551
tui song 	推送	c=1 d=1 t=1454
tui xue 	退學	c=1 d=1 t=1939
tun tu liang 	吞吐量	c=2 d=1.99501 t=3813
tun tun tu tu 	吞吞吐吐	c=0 d=0.1 t=1791
tuo li 	脫離	c=1 d=1 t=2389
va 	<(￣︶￣)↗	c=1 d=1 t=4154
wa 	瓦	c=0 d=0.1 t=474
wai 	外	c=0 d=0.1 t=894
wai lian 	外鏈	c=1 d=1 t=4254
wai qu 	歪曲	c=1 d=1 t=1546
wai tao 	外逃	c=1 d=1 t=530
wai yi 	外衣	c=0 d=0.1 t=1487
wai zhi 	外置	c=1 d=1 t=3972
wan 	玩	c=1 d=1 t=2598
wan 	萬	c=2 d=1.95123 t=2217
wan bi 	完畢	c=1 d=1 t=3467
wan cheng 	完成	c=1 d=1 t=3211
wan le 	完了	c=0 d=0.1 t=4069
wan mei 	完美	c=1 d=1.00001 t=2777
wan mei zhu yi 	完美主义	c=1 d=1 t=1251
wan mei zhuan ye 	完美專業	c=1 d=1 t=978
wan quan 	萬全	c=1 d=1 t=225
wan zhao 	萬兆	c=1 d=1 t=4087
wang 	網	c=1 d=1 t=3734
wang jian 	网件	c=6 d=5.1776 t=3868
wang kou 	网口	c=0 d=0.1 t=561
wang luo 	網羅	c=0 d=0.1 t=3699
wang luo qian zhui 	網羅前綴	c=1 d=1 t=3700
wang pan 	網盤	c=1 d=1 t=3719
wang shang 	網上	c=1 d=1 t=2293
wang shuo 	王朔	c=1 d=1 t=1937
wang xian 	網線	c=2 d=1.9802 t=4092
wang ye 	網頁	c=2 d=0.302909 t=3375
wang yi 	網易	c=4 d=1.17562 t=4537
wang zhan 	網站	c=3 d=1.00076 t=4109
wang zhi 	網址	c=1 d=1 t=4175
wei 	微	c=2 d=1.8311 t=1721
wei 	未	c=0 d=0.1 t=3729
wei 	爲	c=15 d=1.02669 t=4497
wei 	胃	c=1 d=1 t=2978
wei bei an 	未備案	c=1 d=1 t=3730
wei de 	爲的	c=1 d=1 t=1578
wei hai 	危害	c=2 d=1.00985 t=1891
wei he 	爲何	c=1 d=1.099 t=1644
wei he tong ku 	爲何痛苦	c=1 d=1 t=1643
wei hu 	維護	c=1 d=1 t=1782
wei ke zhi 	未可知	c=1 d=1 t=1159
wei kong 	爲空	c=1 d=1 t=3652
wei lai 	未來	c=1 d=1 t=1156
wei le 	爲了	c=2 d=1.02117 t=2999
wei nei rui la 	委內瑞拉	c=1 d=1 t=601
wei sha 	爲啥	c=0 d=0.1 t=1278
wei shen 	爲什	c=0 d=0.1 t=4073
wei shen e mo 	爲什惡魔	c=1 d=1 t=4074
wei shen me 	爲什麼	c=2 d=1 t=4071
wei xian 	危險	c=0 d=0.1 t=4218
wei xin 	微信	c=1 d=1 t=1430
wei xiu 	維修	c=3 d=2.6298 t=3865
wei zhi 	位置	c=7 d=1.33804 t=4227
wen 	問	c=0 d=0.1 t=1283
wen ben 	文本	c=3 d=1.09638 t=4238
wen da 	問答	c=3 d=2.54212 t=2993
wen du 	溫度	c=1 d=1 t=3656
wen jian 	文件	c=4 d=1.36945 t=4083
wen jian jia 	文件夾	c=4 d=1.04689 t=3703
wen jian ming 	文件名	c=3 d=2.98506 t=299
wen jiang 	溫江	c=5 d=1.01321 t=2300
wen jiang qu 	溫江區	c=1 d=1 t=725
wen ping 	文憑	c=1 d=1 t=692
wen rou 	溫柔	c=2 d=1.97045 t=822
wen ti 	問題	c=5 d=1.01735 t=4224
wen xue 	文學	c=6 d=1.46098 t=2358
wen yi 	文藝	c=2 d=1.99501 t=1876
wen yi 	瘟疫	c=1 d=1 t=380
wen zi 	文字	c=3 d=2.89413 t=3046
wo 	我	c=28 d=0.162292 t=4456
wo bu shi 	我不是	c=1 d=1 t=637
wo bu zhi dao 	我不知道	c=1 d=1 t=2601
wo de 	我的	c=3 d=1.00004 t=4349
wo jiu 	我就	c=0 d=0.1 t=513
wo jiu bu 	我就不	c=1 d=1 t=1328
wo jiu ma ni 	我就罵你	c=1 d=1 t=514
wo jue de 	我覺得	c=3 d=2.02909 t=2505
wo le 	我了	c=0 d=0.1 t=1330
wo men 	我們	c=1 d=1 t=2654
wo ren wei 	我認爲	c=1 d=1 t=1814
wo shi 	我是	c=1 d=1 t=2502
wo ting 	我聽	c=0 d=0.1 t=1283
wo ting shuo 	我聽說	c=6 d=1.7742 t=4629
wo xiang 	我想	c=2 d=1.91851 t=3077
wo yong lai 	我用來	c=1 d=1 t=3089
wo zai 	我在	c=1 d=1 t=2640
wo zai zhe li 	我在这里	c=3 d=2.79539 t=4629
wo zhe 	我這	c=1 d=1 t=3804
wo zhi chi 	我支持	c=1 d=1 t=4457
wo zhi dao 	我知道	c=2 d=1.00566 t=2604
wu 	無	c=2 d=1.00004 t=3945
wu 	物	c=1 d=1 t=2653
wu chan jie ji 	無產階級	c=1 d=1 t=924
wu fa 	無法	c=7 d=1.90689 t=4133
wu fa deng lu 	無法登錄	c=1 d=1 t=3659
wu fa lian jie 	無法連接	c=1 d=1 t=4134
wu fa yu 	無法與	c=1 d=1 t=831
wu kong bu ru 	無孔不入	c=1 d=1 t=1140
wu li 	物理	c=1 d=1 t=381
wu lian wang 	物联网	c=1 d=1 t=752
wu nian 	五年	c=1 d=1 t=1104
wu shui yin 	無水印	c=1 d=1 t=1795
wu xian 	無線	c=5 d=2.54721 t=3915
wu xiao 	無效	c=6 d=1.30398 t=3903
wu yong 	無用	c=1 d=1 t=1116
wu yu 	物語	c=1 d=1 t=2489
xi 	西	c=1 d=1 t=4383
xi bao 	細胞	c=2 d=2.02093 t=328
xi bao ci ku 	細胞詞庫	c=1 d=1 t=94
xi gai 	膝蓋	c=2 d=1.9802 t=2555
xi guan 	習慣	c=1 d=1 t=829
xi hong shi 	西虹市	c=2 d=1.86936 t=655
xi hua 	西華	c=1 d=1 t=1682
xi huan 	喜歡	c=4 d=2.87653 t=2268
xi jie 	細節	c=2 d=1.95123 t=3223
xi la 	希臘	c=1 d=1 t=343
xi pu 	犀浦	c=1 d=1 t=1418
xi tong 	系統	c=9 d=2.2196 t=4606
xi tong ri zhi 	系统日志	c=2 d=1.99501 t=3942
xi wang 	希望	c=3 d=1.04971 t=3160
xi wen 	西文	c=1 d=1 t=3728
xia 	下	c=4 d=1.00109 t=3772
xia biao 	下標	c=3 d=2.73451 t=3643
xia biao 	下表	c=1 d=1 t=3611
xia qu 	下去	c=0 d=0.1 t=2282
xia yi 	下一	c=0 d=0.1 t=811
xia yi ge 	下一個	c=1 d=1 t=3560
xia yi zhen 	下一陣	c=1 d=1 t=812
xia zai 	下載	c=9 d=3.0242 t=4082
xian 	線	c=1 d=1 t=2807
xian ding 	限定	c=1 d=1 t=651
xian qi 	嫌棄	c=1 d=1 t=1184
xian shi 	現實	c=2 d=1.00005 t=3072
xian shi 	顯示	c=2 d=1.00003 t=2729
xian xiang 	現象	c=2 d=1.8825 t=2412
xian xing 	線性	c=1 d=1 t=3022
xian you 	現有	c=1 d=1 t=3521
xian yu 	限於	c=0 d=0.1 t=2011
xian zai 	現在	c=8 d=1.04696 t=3854
xian zhi 	限制	c=1 d=1 t=656
xiang 	像	c=1 d=1 t=2948
xiang 	向	c=1 d=1 t=4312
xiang bi 	想必	c=1 d=1 t=1293
xiang deng 	相等	c=1 d=1 t=3644
xiang dong 	響動	c=1 d=1 t=2562
xiang fa 	想法	c=1 d=1 t=1248
xiang mu 	項目	c=1 d=1.00028 t=1778
xiang qing 	詳情	c=1 d=1 t=4252
xiang tong 	相同	c=2 d=1.03112 t=4184
xiang wo 	像我	c=0 d=0.1 t=2249
xiang xi 	詳細	c=1 d=1 t=4247
xiang xiang 	想象	c=1 d=1 t=4559
xiang yao 	想要	c=3 d=1.49124 t=1574
xiang ying 	響應	c=1 d=1 t=4004
xiao 	小	c=0 d=0.107317 t=1041
xiao bao 	小寶	c=1 d=1 t=608
xiao cun 	小村	c=1 d=1 t=4424
xiao guo 	效果	c=1 d=1.07189 t=4185
xiao hua 	消化	c=3 d=2.8385 t=2971
xiao mi 	小米	c=1 d=1 t=568
xiao mu chong 	小木虫	c=1 d=1 t=3738
xiao qu 	小區	c=1 d=1 t=2883
xiao shuo 	小說	c=1 d=1 t=1868
xiao ti qin 	小提琴	c=1 d=1 t=4030
xiao tui 	小腿	c=1 d=1 t=2571
xiao xie 	消協	c=1 d=1 t=193
xiao xue 	小學	c=1 d=1 t=3879
xiao yi 	小姨	c=1 d=1 t=2496
xie 	些	c=1 d=1 t=2645
xie 	寫	c=3 d=1.97082 t=3681
xie bu ya zheng 	邪不压正	c=1 d=1 t=636
xie chi 	挾持	c=2 d=1.99501 t=4097
xie gang 	斜槓	c=1 d=1 t=161
xie le 	寫了	c=0 d=0.1 t=4177
xie le ge 	寫了個	c=1 d=1 t=4178
xie mo sha lv 	卸磨殺驢	c=1 d=1 t=833
xie xie 	謝謝	c=1 d=1 t=4157
xie yi 	協議	c=1 d=1 t=4128
xin 	新	c=7 d=4.92281 t=3204
xin 	芯	c=1 d=1 t=3693
xin bu 	信步	c=3 d=2.97032 t=470
xin hao 	信號	c=1 d=1 t=1383
xin lang wei bo 	新浪微博	c=1 d=1 t=1734
xin li 	心理	c=5 d=2.60235 t=2823
xin li 	心裏	c=1 d=1 t=1106
xin li xue 	心理學	c=5 d=2.07639 t=2930
xin shui 	薪水	c=2 d=1.51171 t=868
xin wen 	新聞	c=1 d=1 t=1908
xin xi an quan 	信息安全	c=1 d=1 t=751
xin xi hua 	信息化	c=1 d=1 t=748
xin yong ka 	信用卡	c=1 d=1 t=2218
xin yuan 	心願	c=1 d=1 t=2240
xin zi 	薪資	c=1 d=1 t=988
xing 	型	c=2 d=1.99005 t=4284
xing 	性	c=4 d=1.23425 t=2554
xing 	醒	c=1 d=1 t=1640
xing cheng 	形成	c=2 d=1.49659 t=3169
xing fu 	幸福	c=1 d=1 t=1374
xing xing 	星星	c=1 d=1 t=2132
xing zheng 	行政	c=1 d=1 t=3721
xiong ji 	胸肌	c=2 d=1.80654 t=2575
xiu fu 	修復	c=2 d=1.63763 t=1587
xiu gai 	修改	c=6 d=1.03609 t=4172
xiu mian 	休眠	c=2 d=1.83946 t=515
xiu xi 	休息	c=3 d=2.97658 t=1460
xiu yang 	修養	c=1 d=0.135084 t=1575
xiu yang le 	修養了	c=1 d=1 t=1576
xu 	徐	c=6 d=3.9765 t=1719
xu hao 	序號	c=1 d=1 t=3544
xu jia 	虛假	c=1 d=1 t=1737
xu lie 	序列	c=1 d=1 t=3533
xu ni 	虛擬	c=1 d=1 t=3069
xu ni nei cun 	虛擬內存	c=2 d=1.99501 t=4078
xu qiu liang da 	需求量大	c=1 d=1 t=987
xu teng hao 	徐腾浩	c=5 d=2.17229 t=4223
xu yao 	需要	c=15 d=1.68024 t=4106
xu yao dong nao zi 	需要動腦子	c=1 d=1 t=1176
xu yao li jie 	需要理解	c=1 d=1 t=1175
xuan 	選	c=0 d=0.1 t=1192
xuan xiang 	選項	c=1 d=1 t=3919
xuan ze 	選擇	c=3 d=1.17462 t=4358
xue 	學	c=4 d=3.00338 t=1880
xue bu hao 	学不好	c=1 d=1 t=1209
xue dao 	學到	c=1 d=1 t=2490
xue du 	血毒	c=1 d=1 t=2927
xue fei 	學費	c=1 d=1 t=1973
xue ke 	學科	c=1 d=1 t=1095
xue sheng 	學生	c=3 d=1.36922 t=1471
xue tu 	學徒	c=0 d=0.1 t=674
xue tu qi 	學徒其	c=1 d=1 t=675
xue xi 	學習	c=13 d=3.10984 t=3381
xue xi cheng ben 	學習成本	c=1 d=1 t=1088
xue xiao 	學校	c=3 d=2.29894 t=1945
xue xing 	血腥	c=1 d=1 t=854
xue zha 	學渣	c=2 d=1.97531 t=695
xun jie 	迅捷	c=1 d=1 t=477
xun lei 	迅雷	c=10 d=5.67846 t=3327
xun lei hui yuan 	迅雷會員	c=3 d=1.00974 t=1376
xun zhao 	尋找	c=1 d=1 t=3626
ya jia 	壓價	c=1 d=1 t=923
ya li 	壓力	c=0 d=0.1 t=1041
ya li da 	壓力大	c=1 d=1 t=674
ya li xiao 	壓力小	c=1 d=1 t=1042
ya po 	壓迫	c=0 d=0.1 t=1558
ya po de 	壓迫的	c=1 d=1 t=1559
ya tang 	雅堂	c=1 d=1.09704 t=524
ya tang xiao 	雅堂小	c=1 d=1 t=519
yan fa 	研發	c=4 d=3.3186 t=1780
yan jing 	眼睛	c=1 d=1 t=2474
yan jiu 	研究	c=0 d=0.1 t=2658
yan jiu sheng 	研究生	c=1 d=1 t=3712
yan jiu tou 	研究透	c=1 d=1 t=2659
yan pi lao 	眼疲劳	c=1 d=1 t=959
yan wu 	厭惡	c=2 d=1.9802 t=2347
yan xi gong lve 	延禧攻略	c=5 d=3.99478 t=1373
yang cui 	杨翠	c=2 d=1.00001 t=4535
yang guo 	楊過	c=0 d=0.1 t=1356
yang sheng qi 	揚聲器	c=1 d=1 t=1401
yao 	腰	c=0 d=0.1 t=2518
yao 	要	c=6 d=1.21668 t=3428
yao kong 	遙控	c=2 d=1.94649 t=578
yao qiu 	要求	c=3 d=0.1 t=4256
yao qiu o 	要求哦	c=1 d=1 t=4257
yao rang 	要讓	c=3 d=1.01703 t=4011
yao shi 	鑰匙	c=0 d=0.1 t=4598
yao shi chuan 	鑰匙串	c=1 d=1 t=4599
yao shi lian 	鑰匙鏈	c=1 d=1 t=4592
yao tou 	搖頭	c=0 d=0.1 t=1676
yao tou ni gan liu 	搖頭你幹流	c=1 d=1 t=1677
yao xiu xi 	要休息	c=1 d=1 t=907
yao yan 	謠言	c=1 d=1 t=1550
yao yong 	要用	c=1 d=1 t=4075
yao you dian tong 	腰有點痛	c=1 d=1 t=2519
ye 	也	c=8 d=1.49002 t=2968
ye bu 	也不	c=0 d=0.1 t=1806
ye bu wei 	也不爲	c=1 d=1 t=1807
ye mei you 	也沒有	c=1 d=1 t=2272
ye mian 	頁面	c=1 d=1 t=1233
ye wei 	也爲	c=0 d=0.1 t=2232
ye wei le 	也爲了	c=1 d=1 t=2233
yi 	一	c=5 d=1.68388 t=3520
yi 	亦	c=1 d=1 t=1621
yi 	以	c=1 d=1 t=3226
yi 	已	c=1 d=1 t=492
yi 	懿	c=4 d=3.91649 t=367
yi 	易	c=1 d=1 t=3649
yi ban 	一般	c=3 d=2.01727 t=1791
yi bao 	醫保	c=4 d=3.89732 t=650
yi bei 	一杯	c=1 d=1 t=2166
yi bei zi 	一輩子	c=0 d=0.1 t=2279
yi bian 	一邊	c=1 d=1 t=2755
yi bu fen 	一部分	c=1 d=1 t=1594
yi chu 	移除	c=1 d=1 t=4532
yi ci 	一次	c=1 d=1 t=3500
yi ci 	以此	c=2 d=1.0004 t=4008
yi da dao 	已達到	c=1 d=1 t=3168
yi dai 	一代	c=0 d=0.199501 t=1160
yi dai ban ben 	一代版本	c=1 d=1 t=1160
yi dai shen 	一代神	c=1 d=1 t=1161
yi ding 	一定	c=1 d=1 t=3522
yi dong 	移動	c=11 d=1.11844 t=4275
yi dong duan 	移動端	c=1 d=1 t=1702
yi du dian 	一度电	c=2 d=1.99005 t=474
yi duan shi jian 	一段時間	c=0 d=0.1 t=4102
yi fang 	一方	c=1 d=1 t=1656
yi fen zi 	一分子	c=0 d=0.1 t=860
yi ge 	一個	c=14 d=1.66604 t=4289
yi ge jie dian 	一個節點	c=1 d=1 t=4290
yi ge ren 	一個人	c=1 d=1 t=1501
yi hang bai lu shang qing tian 	一行白鷺上青天	c=1 d=1 t=102
yi hou 	以後	c=1 d=1 t=3908
yi ji 	以及	c=1 d=1 t=2973
yi jian 	一鍵	c=2 d=1.93239 t=4126
yi jing 	已經	c=4 d=1.0119 t=3743
yi jing shi 	已經是	c=1 d=1 t=2380
yi lai 	以來	c=1 d=1 t=2203
yi lai 	依賴	c=3 d=0.886628 t=4315
yi lai guan xi 	依賴關係	c=1 d=1 t=4316
yi lei 	一類	c=1 d=1 t=1055
yi liang nian 	一兩年	c=1 d=1 t=1010
yi liu 	一流	c=1 d=1 t=1971
yi men 	一門	c=1 d=1 t=1999
yi nian 	一年	c=2 d=1.04505 t=2197
yi pai 	一排	c=2 d=1.98511 t=4295
yi qi 	一起	c=1 d=1 t=4169
yi qie 	一切	c=1 d=1 t=1521
yi shi 	一時	c=1 d=1 t=2919
yi shu 	易數	c=1 d=1 t=4099
yi shu 	藝術	c=3 d=2.95581 t=1925
yi tai 	一臺	c=1 d=1 t=4584
yi tao 	一套	c=1 d=1 t=1841
yi tian 	一天	c=1 d=1 t=1150
yi wei zhe 	意味着	c=2 d=1.0696 t=3369
yi xia 	一下	c=2 d=1.00003 t=4560
yi xie 	一些	c=7 d=2.29563 t=3100
yi xie ren 	一些人	c=1 d=1 t=2656
yi xing 	一行	c=0 d=0.1 t=1607
yi xing dong 	一行動	c=1 d=1 t=1608
yi yang de ren 	一樣的人	c=0 d=0.1 t=1325
yi yi shang 	意義上	c=1 d=1 t=1824
yi zhi 	一直	c=1 d=1 t=2712
yi zhong 	一種	c=4 d=1.14182 t=3130
yi zhong shi 	一種是	c=1 d=1 t=3125
yin 	音	c=4 d=3.60132 t=4483
yin hang 	銀行	c=1 d=1 t=3723
yin hao 	引號	c=4 d=3.83488 t=3406
yin liang 	音量	c=4 d=3.53883 t=4027
yin pin 	音頻	c=2 d=1.99005 t=1399
yin qi 	引起	c=1 d=1 t=2974
yin qing 	引擎	c=1 d=1 t=4195
yin shi 	飲食	c=1 d=1 t=963
yin shui ji 	飲水機	c=1 d=1 t=2815
yin si 	隱私	c=1 d=1 t=2762
yin wei 	因爲	c=11 d=1.27347 t=3446
yin yue 	音樂	c=3 d=1.00079 t=1914
ying 	應	c=2 d=1.07427 t=4061
ying 	贏	c=1 d=1 t=917
ying jian 	硬件	c=2 d=0.100036 t=3822
ying jian wen ti 	硬件問題	c=1 d=1 t=3823
ying ti 	硬體	c=1 d=1 t=1272
ying wen 	英文	c=5 d=1.69196 t=4397
ying xiang 	影響	c=2 d=1.00035 t=2761
ying yong 	應用	c=2 d=1.00207 t=3332
ying yu 	英語	c=4 d=2.05599 t=2935
yong 	用	c=9 d=1.137 t=4563
yong dao 	用到	c=0 d=0.1 t=2091
yong de 	用的	c=2 d=1.94649 t=3065
yong guo 	用過	c=1 d=1 t=3836
yong hu 	用戶	c=2 d=1.98511 t=3417
yong hui 	永辉	c=1 d=1 t=521
yong lai 	用來	c=0 d=0.1 t=3088
yong tu 	用途	c=2 d=1.12682 t=4375
yong wan le 	用完了	c=1 d=1 t=4070
yong yan guo du 	用眼過度	c=1 d=1 t=960
yong you 	擁有	c=2 d=1.9802 t=1249
yong yu 	用於	c=2 d=1.6005 t=3244
you 	又	c=2 d=1.06891 t=1564
you 	友	c=1 d=1 t=4039
you 	右	c=0 d=0.1 t=2533
you 	有	c=10 d=1.05688 t=4583
you 	油	c=1 d=1 t=1980
you bi yao 	有必要	c=1 d=1 t=1426
you dian 	有點	c=3 d=1.99818 t=2852
you dian nan 	有點難	c=1 d=1 t=3107
you dian tong 	有點痛	c=0 d=0.1 t=2518
you he 	有何	c=1 d=1 t=1890
you hua 	優化	c=3 d=2.83372 t=3595
you jing 	幽靜	c=1 d=1 t=2747
you li yu 	有利於	c=2 d=1.00034 t=4539
you lian jia 	右臉頰	c=1 d=1 t=2534
you que dian 	優缺點	c=1 d=1 t=2076
you ren 	有人	c=1 d=1 t=2427
you shi 	優勢	c=1 d=1 t=3768
you shi 	有時	c=2 d=1.9802 t=2184
you shi hou 	有時候	c=1 d=1 t=1313
you tai duo 	有太多	c=2 d=1.9802 t=1549
you xi 	遊戲	c=7 d=5.82309 t=2621
you xian 	有限	c=1 d=1 t=1731
you xian gong si 	有限公司	c=3 d=2.67106 t=1756
you xie 	有些	c=1 d=1 t=2947
you xiu 	優秀	c=1 d=1 t=2463
you xu 	有序	c=1 d=1 t=3105
you yan 	右眼	c=2 d=1.89137 t=2503
you yi ge 	有一個	c=2 d=1.00381 t=3805
you yi zhong 	有一種	c=1 d=1 t=2540
you zhu yu 	有助於	c=1 d=1 t=4542
yu 	於	c=1 d=1 t=1492
yu 	與	c=4 d=1.00108 t=3437
yu ju 	語句	c=1 d=1 t=2046
yu shu 	餘數	c=2 d=1.99501 t=283
yu wen 	語文	c=1 d=1 t=2357
yu yan 	語言	c=9 d=2.24386 t=4209
yu yan 	預言	c=1 d=1 t=1989
yu yin shi bie 	語音識別	c=1 d=1 t=3979
yuan 	元	c=2 d=1.93707 t=2221
yuan 	源	c=13 d=2.97269 t=4068
yuan chang 	原廠	c=2 d=1.98511 t=4203
yuan gong 	員工	c=1 d=1 t=954
yuan gu 	緣故	c=1 d=1 t=2738
yuan jian 	元件	c=1 d=1 t=3851
yuan li 	原理	c=1 d=1 t=4125
yuan qi jian 	元器件	c=1 d=1 t=2403
yuan su 	元素	c=5 d=3.13026 t=3741
yuan su 	原素	c=1 d=1 t=219
yuan wen jian 	源文件	c=1 d=1 t=136
yuan yi 	願意	c=0 d=0.1 t=1023
yuan yi yao 	願意要	c=1 d=1 t=1024
yue 	約	c=1 d=1 t=2703
yue 	越	c=1 d=1 t=2483
yue du 	閱讀	c=5 d=3.71555 t=2937
yue lai 	越來	c=1 d=1 t=2482
yue qi 	樂器	c=1 d=1 t=982
yun 	雲	c=2 d=1 t=4404
yun chou xue 	運籌學	c=2 d=1.99005 t=741
yun dong 	運動	c=1 d=1 t=2453
yun suan 	運算	c=1 d=1 t=174
yun xing 	運行	c=6 d=1.00993 t=3220
yun ying shang 	運營商	c=1 d=1 t=3436
zai 	再	c=8 d=1.12563 t=4595
zai 	在	c=21 d=2.02157 t=4618
zai 	載	c=1 d=1 t=554
zai ci 	再次	c=1 d=1 t=2842
zai jia 	在家	c=1 d=1 t=1575
zai na 	在哪	c=1 d=1 t=1962
zai na li 	在哪裏	c=0 d=0.1 t=4123
zai na li she zhi 	在哪裏設置	c=1 d=1 t=4124
zai ren qian 	在人前	c=1 d=1 t=1300
zai xian 	在線	c=4 d=2.88825 t=3050
zai yong 	在用	c=1 d=1 t=3857
zai yu 	在於	c=2 d=1.52729 t=3109
zai zhi qian 	在之前	c=1 d=1 t=1815
zao cheng 	造成	c=1 d=1 t=2970
zao dao 	遭到	c=1 d=1 t=2662
zao shang 	早上	c=1 d=1 t=4041
ze 	則	c=2 d=1.62814 t=3645
ze ren 	責任	c=0 d=0.1 t=897
zen me 	怎麼	c=3 d=0.638135 t=3895
zen me ban 	怎麼辦	c=1 d=1 t=640
zen me hua 	怎麼化	c=1 d=1 t=3896
zen me ji 	怎麼寄	c=1 d=1 t=3650
zen me yang 	怎麼樣	c=1 d=1 t=2637
zeng jia 	增加	c=9 d=1.03512 t=4273
zeng qiang 	增強	c=1 d=1 t=4556
zha shi 	紮實	c=1 d=1 t=1093
zha yan 	眨眼	c=1 d=1 t=2491
zhan ju 	佔據	c=1 d=1 t=2847
zhan li 	站立	c=1 d=1 t=950
zhan tie 	粘貼	c=1 d=1 t=4170
zhan wei 	佔位	c=2 d=1.99005 t=3053
zhan yong 	佔用	c=1 d=1 t=3709
zhan zhe 	站着	c=1 d=1 t=1473
zhang de 	長得	c=1 d=1 t=2249
zhang gong zi 	漲工資	c=1 d=1 t=1115
zhang hao 	帳號	c=5 d=1.00467 t=4533
zhang hu 	賬戶	c=1 d=1 t=4530
zhang zhang 	漲漲	c=1 d=1 t=2548
zhao 	找	c=1 d=1 t=4601
zhao 	照	c=0 d=0.1 t=1989
zhao dao 	找到	c=1 d=1 t=1671
zhao gong zuo 	找工作	c=1 d=1 t=867
zhao jian 	照見	c=1 d=1 t=1589
zhao pian 	照片	c=3 d=1.32568 t=631
zhao pin 	招聘	c=2 d=1.956 t=1422
zhe 	這	c=2 d=1.01478 t=2708
zhe ge 	這個	c=4 d=1.77638 t=3005
zhe ju hua 	這句話	c=1 d=1 t=4160
